level_0,level_1,0,column1,column2
1928,0,"[14553.0, 0]",14553.0,0
1928,1,"[13345.101, 1]",13345.101,1
1928,2,"[10305.0869922, 2]",10305.0869922,2
1928,3,"[6712.733666719079, 3]",6712.733666719079,3
1928,4,"[6795.300290819724, 4]",6795.300290819724,4
1928,5,"[10538.83122103231, 5]",10538.83122103231,5
1928,6,"[10088.82312789423, 6]",10088.82312789423,6
1928,7,"[14578.34941980716, 7]",14578.34941980716,7
1928,8,"[19021.830322964383, 8]",19021.830322964383,8
1928,9,"[11614.72959520205, 9]",11614.72959520205,9
1928,10,"[15257.108796257413, 10]",15257.108796257413,10
1928,11,"[15305.931544405437, 11]",15305.931544405437,11
1928,12,"[13562.585941497658, 12]",13562.585941497658,12
1928,13,"[11152.514419693525, 13]",11152.514419693525,13
1928,14,"[12077.057865086119, 14]",12077.057865086119,14
1928,15,"[14363.24491894692, 15]",14363.24491894692,15
1928,16,"[16848.086289924737, 16]",16848.086289924737,16
1928,17,"[22500.619240194486, 17]",22500.619240194486,17
1928,18,"[18729.51545553789, 18]",18729.51545553789,18
1928,19,"[17013.891839810618, 19]",17013.891839810618,19
1928,20,"[16610.662603207107, 20]",16610.662603207107,20
1928,21,"[19856.386075873776, 21]",19856.386075873776,21
1928,22,"[25723.948161294476, 22]",25723.948161294476,22
1928,23,"[29788.331970779003, 23]",29788.331970779003,23
1928,24,"[34622.978249636435, 24]",34622.978249636435,24
1928,25,"[33944.367875943564, 25]",33944.367875943564,25
1928,26,"[51530.944872469925, 26]",51530.944872469925,26
1928,27,"[68520.69739692326, 27]",68520.69739692326,27
1928,28,"[72597.6788920402, 28]",72597.6788920402,28
1928,29,"[62600.97850860627, 29]",62600.97850860627,29
1928,30,"[88185.99842507366, 30]",88185.99842507366,30
1928,31,"[98212.74644600453, 31]",98212.74644600453,31
1928,32,"[96857.41054504967, 32]",96857.41054504967,32
1928,33,"[121681.9648677459, 33]",121681.9648677459,33
1928,34,"[109744.96411422003, 34]",109744.96411422003,34
1928,35,"[133109.66697413748, 35]",133109.66697413748,35
1928,36,"[153222.53765392964, 36]",153222.53765392964,36
1928,37,"[169755.24946678866, 37]",169755.24946678866,37
1928,38,"[147975.65096019968, 38]",147975.65096019968,38
1928,39,"[178621.40827405703, 39]",178621.40827405703,39
1928,40,"[190446.1455017996, 40]",190446.1455017996,40
1928,41,"[164355.02356805303, 41]",164355.02356805303,41
1928,42,"[160804.9550589831, 42]",160804.9550589831,42
1928,43,"[176628.16263678702, 43]",176628.16263678702,43
1928,44,"[204093.8419268074, 44]",204093.8419268074,44
1928,45,"[162193.37617923383, 45]",162193.37617923383,45
1928,46,"[102279.14301862486, 46]",102279.14301862486,46
1928,47,"[130784.34017791561, 47]",130784.34017791561,47
1928,48,"[154417.07044806497, 48]",154417.07044806497,48
1928,49,"[133601.6493516658, 49]",133601.6493516658,49
1928,50,"[132158.75153866783, 50]",132158.75153866783,50
1928,51,"[141634.5340239903, 51]",141634.5340239903,51
1928,52,"[167468.67302996613, 52]",167468.67302996613,52
1928,53,"[142314.87834086522, 53]",142314.87834086522,53
1928,54,"[162608.9799922726, 54]",162608.9799922726,54
1928,55,"[193716.07786479435, 55]",193716.07786479435,55
1928,56,"[197261.0820897201, 56]",197261.0820897201,56
1928,57,"[251862.94961215463, 57]",251862.94961215463,57
1928,58,"[293747.75813265593, 58]",293747.75813265593,58
1928,59,"[300092.7097083213, 59]",300092.7097083213,59
1928,60,"[337304.20571215317, 60]",337304.20571215317,60
1928,61,"[427229.5069550132, 61]",427229.5069550132,61
1928,62,"[391085.89066661906, 62]",391085.89066661906,62
1928,63,"[492846.43941807334, 63]",492846.43941807334,63
1928,64,"[514925.959904003, 64]",514925.959904003,64
1928,65,"[550867.7919053024, 65]",550867.7919053024,65
1928,66,"[544092.1180648672, 66]",544092.1180648672,66
1928,67,"[731096.5790437621, 67]",731096.5790437621,67
1928,68,"[875341.9340890963, 68]",875341.9340890963,68
1928,69,"[1145034.7839819468, 69]",1145034.7839819468,69
1928,70,"[1451675.099132312, 70]",1451675.099132312,70
1928,71,"[1722848.0076502278, 71]",1722848.0076502278,71
1928,72,"[1509387.1395023644, 72]",1509387.1395023644,72
1928,73,"[1287507.2299955168, 73]",1287507.2299955168,73
1928,74,"[984299.2773315726, 74]",984299.2773315726,74
1928,75,"[1241004.5288596468, 75]",1241004.5288596468,75
1928,76,"[1341277.6947915063, 76]",1341277.6947915063,76
1928,77,"[1360592.093596504, 77]",1360592.093596504,77
1928,78,"[1529033.3947837513, 78]",1529033.3947837513,78
1928,79,"[1569246.973066564, 79]",1569246.973066564,79
1928,80,"[935428.1206449788, 80]",935428.1206449788,80
1928,81,"[1181445.7163746082, 81]",1181445.7163746082,81
1928,82,"[1337160.2617927815, 82]",1337160.2617927815,82
1928,83,"[1322986.3630177781, 83]",1322986.3630177781,83
1928,84,"[1505823.078386835, 84]",1505823.078386835,84
1928,85,"[1967960.1811437546, 85]",1967960.1811437546,85
1928,86,"[2202147.4426998612, 86]",2202147.4426998612,86
1928,87,"[2229894.5004778793, 87]",2229894.5004778793,87
1928,88,"[2464256.4124781042, 88]",2464256.4124781042,88
1928,89,"[2944293.561628839, 89]",2944293.561628839,89
1928,90,"[2746437.034287381, 90]",2746437.034287381,90
1928,91,"[3555262.7408850146, 91]",3555262.7408850146,91
1928,92,"[4151835.82880552, 92]",4151835.82880552,92
1929,0,"[9170.0, 0]",9170.0,0
1929,1,"[7081.0740000000005, 1]",7081.0740000000005,1
1929,2,"[4612.6116036, 2]",4612.6116036,2
1929,3,"[4669.34672632428, 3]",4669.34672632428,3
1929,4,"[7241.6898378563255, 4]",7241.6898378563255,4
1929,5,"[6932.46968177986, 5]",6932.46968177986,5
1929,6,"[10017.418690171899, 6]",10017.418690171899,6
1929,7,"[13070.727906936294, 7]",13070.727906936294,7
1929,8,"[7980.986459975301, 8]",7980.986459975301,8
1929,9,"[10483.823813823556, 9]",10483.823813823556,9
1929,10,"[10517.37205002779, 10]",10517.37205002779,10
1929,11,"[9319.443373529626, 11]",9319.443373529626,11
1929,12,"[7663.378286053412, 12]",7663.378286053412,12
1929,13,"[8298.67234596724, 13]",8298.67234596724,13
1929,14,"[9869.611021058838, 14]",9869.611021058838,14
1929,15,"[11577.053727702016, 15]",11577.053727702016,15
1929,16,"[15461.155253346042, 16]",15461.155253346042,16
1929,17,"[12869.865632885245, 17]",12869.865632885245,17
1929,18,"[11690.985940912957, 18]",11690.985940912957,18
1929,19,"[11413.90957411332, 19]",11413.90957411332,19
1929,20,"[13644.187504895064, 20]",13644.187504895064,20
1929,21,"[17676.044912591555, 21]",17676.044912591555,21
1929,22,"[20468.86000878102, 22]",20468.86000878102,22
1929,23,"[23790.95598820618, 23]",23790.95598820618,23
1929,24,"[23324.65325083734, 24]",23324.65325083734,24
1929,25,"[35409.15610009617, 25]",35409.15610009617,25
1929,26,"[47083.55486629787, 26]",47083.55486629787,26
1929,27,"[49885.026380842595, 27]",49885.026380842595,27
1929,28,"[43015.85824820057, 28]",43015.85824820057,28
1929,29,"[60596.43951424015, 29]",60596.43951424015,29
1929,30,"[67486.25468700925, 30]",67486.25468700925,30
1929,31,"[66554.94437232852, 31]",66554.94437232852,31
1929,32,"[83612.97661495632, 32]",83612.97661495632,32
1929,33,"[75410.5436090291, 33]",75410.5436090291,33
1929,34,"[91465.4483433914, 34]",91465.4483433914,34
1929,35,"[105285.87758807784, 35]",105285.87758807784,35
1929,36,"[116646.22377983145, 36]",116646.22377983145,36
1929,37,"[101680.51326887908, 37]",101680.51326887908,37
1929,38,"[122738.54756686394, 38]",122738.54756686394,38
1929,39,"[130863.83941579034, 39]",130863.83941579034,39
1929,40,"[112935.49341582706, 40]",112935.49341582706,40
1929,41,"[110496.0867580452, 41]",110496.0867580452,41
1929,42,"[121368.90169503685, 42]",121368.90169503685,42
1929,43,"[140241.76590861508, 43]",140241.76590861508,43
1929,44,"[111450.1313675764, 44]",111450.1313675764,44
1929,45,"[70280.45284039367, 45]",70280.45284039367,45
1929,46,"[89867.61504701138, 46]",89867.61504701138,46
1929,47,"[106106.69308600633, 47]",106106.69308600633,47
1929,48,"[91803.51085801268, 48]",91803.51085801268,48
1929,49,"[90812.03294074614, 49]",90812.03294074614,49
1929,50,"[97323.25570259764, 50]",97323.25570259764,50
1929,51,"[115075.01754275145, 51]",115075.01754275145,51
1929,52,"[97790.74990783018, 52]",97790.74990783018,52
1929,53,"[111735.71084468676, 53]",111735.71084468676,53
1929,54,"[133110.75232927533, 54]",133110.75232927533,54
1929,55,"[135546.67909690106, 55]",135546.67909690106,55
1929,56,"[173065.9998709233, 56]",173065.9998709233,56
1929,57,"[201846.87564945783, 57]",201846.87564945783,57
1929,58,"[206206.76816348612, 58]",206206.76816348612,58
1929,59,"[231776.4074157584, 59]",231776.4074157584,59
1929,60,"[293567.9976327996, 60]",293567.9976327996,60
1929,61,"[268732.14503306476, 61]",268732.14503306476,61
1929,62,"[338656.2491706682, 62]",338656.2491706682,62
1929,63,"[353828.0491335141, 63]",353828.0491335141,63
1929,64,"[378525.2469630334, 64]",378525.2469630334,64
1929,65,"[373869.3864253881, 65]",373869.3864253881,65
1929,66,"[502368.294539794, 66]",502368.294539794,66
